"x","y","sigmaNovelty","cell","EEZ"
129.875,32.125,0.239928765449616,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.00237477381724744,3274,"Japanese Exclusive Economic Zone"
128.125,31.875,0.33429479761694,3219,"Joint regime area Japan / Korea"
128.375,31.875,0.320354915196215,3219,"Japanese Exclusive Economic Zone"
129.625,31.875,0.267093258609025,3219,"Japanese Exclusive Economic Zone"
129.875,31.875,0.107638699263777,3247,"Japanese Exclusive Economic Zone"
130.125,31.875,0.59143720244884,3247,"Japanese Exclusive Economic Zone"
131.625,31.875,0.00894840236461188,3274,"Japanese Exclusive Economic Zone"
131.875,31.875,0.0671863063163164,3274,"Japanese Exclusive Economic Zone"
-114.625,31.625,0.109311508121003,581,"Mexican Exclusive Economic Zone"
128.125,31.625,0.316350943506801,3219,"Joint regime area Japan / Korea"
128.375,31.625,0.305384756425792,3219,"Joint regime area Japan / Korea"
129.375,31.625,0.285409321491488,3219,"Japanese Exclusive Economic Zone"
129.625,31.625,0.276975754982229,3246,"Japanese Exclusive Economic Zone"
129.875,31.625,0.151666340083955,3246,"Japanese Exclusive Economic Zone"
130.125,31.625,0.243352585298854,3246,"Japanese Exclusive Economic Zone"
130.625,31.625,0.088772713867988,3246,"Japanese Exclusive Economic Zone"
131.625,31.625,0.0477608838288992,3274,"Japanese Exclusive Economic Zone"
131.875,31.625,0.213311765917555,3274,"Japanese Exclusive Economic Zone"
132.125,31.625,0.38768865739581,3274,"Japanese Exclusive Economic Zone"
-114.625,31.375,0.165454494507985,581,"Mexican Exclusive Economic Zone"
-114.375,31.375,0.230154572220526,581,"Mexican Exclusive Economic Zone"
-114.125,31.375,0.0460141366659368,581,"Mexican Exclusive Economic Zone"
-113.875,31.375,0.0185036543559312,609,"Mexican Exclusive Economic Zone"
-113.625,31.375,0.0156171068573221,609,"Mexican Exclusive Economic Zone"
129.125,31.375,0.193503114214519,3219,"Japanese Exclusive Economic Zone"
129.375,31.375,0.278776456727855,3246,"Japanese Exclusive Economic Zone"
129.625,31.375,0.279213430727384,3246,"Japanese Exclusive Economic Zone"
129.875,31.375,0.276955597016934,3246,"Japanese Exclusive Economic Zone"
130.125,31.375,0.107458314993895,3246,"Japanese Exclusive Economic Zone"
130.625,31.375,0.179568985680932,3246,"Japanese Exclusive Economic Zone"
131.125,31.375,0.00077569041116887,3246,"Japanese Exclusive Economic Zone"
131.375,31.375,0.00302831280986326,3246,"Japanese Exclusive Economic Zone"
131.625,31.375,0.133813504013132,3274,"Japanese Exclusive Economic Zone"
131.875,31.375,0.38497005171886,3274,"Japanese Exclusive Economic Zone"
132.125,31.375,0.419980119168571,3274,"Japanese Exclusive Economic Zone"
-114.625,31.125,0.0203265708327689,581,"Mexican Exclusive Economic Zone"
-114.375,31.125,0.0817310433929089,581,"Mexican Exclusive Economic Zone"
-114.125,31.125,0.198286536943802,581,"Mexican Exclusive Economic Zone"
-113.875,31.125,0.122547026059587,609,"Mexican Exclusive Economic Zone"
-113.625,31.125,0.0904580360449411,609,"Mexican Exclusive Economic Zone"
-113.375,31.125,0.0769423383795984,609,"Mexican Exclusive Economic Zone"
-113.125,31.125,0.048392673945185,609,"Mexican Exclusive Economic Zone"
127.375,31.125,0.300680008448429,3219,"Joint regime area Japan / Korea"
127.625,31.125,0.17917141282273,3219,"Joint regime area Japan / Korea"
128.875,31.125,0.281831162650437,3219,"Joint regime area Japan / Korea"
129.125,31.125,0.291520806253527,3219,"Japanese Exclusive Economic Zone"
129.375,31.125,0.238705010574634,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.171751885270879,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.271958096079378,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.251295421098541,3246,"Japanese Exclusive Economic Zone"
130.375,31.125,0.216392769460237,3246,"Japanese Exclusive Economic Zone"
130.625,31.125,0.158641909626282,3246,"Japanese Exclusive Economic Zone"
131.125,31.125,0.0115880159541305,3246,"Japanese Exclusive Economic Zone"
131.375,31.125,0.059710708541407,3246,"Japanese Exclusive Economic Zone"
131.625,31.125,0.352652049365975,3246,"Japanese Exclusive Economic Zone"
131.875,31.125,0.405970343421865,3274,"Japanese Exclusive Economic Zone"
-114.625,30.875,0.0254617292566476,581,"Mexican Exclusive Economic Zone"
-114.375,30.875,0.160940514029524,581,"Mexican Exclusive Economic Zone"
-114.125,30.875,0.105806402809592,609,"Mexican Exclusive Economic Zone"
-113.875,30.875,0.141647804994774,609,"Mexican Exclusive Economic Zone"
-113.625,30.875,0.171300463288278,609,"Mexican Exclusive Economic Zone"
-113.375,30.875,0.256608836664812,609,"Mexican Exclusive Economic Zone"
-113.125,30.875,0.107564309028093,609,"Mexican Exclusive Economic Zone"
126.125,30.875,0.575518098705482,3191,"Joint regime area Japan / Korea"
126.375,30.875,1.03602345368815,3191,"Joint regime area Japan / Korea"
127.125,30.875,0.386669029052787,3219,"Joint regime area Japan / Korea"
127.375,30.875,0.303432925574819,3219,"Joint regime area Japan / Korea"
127.625,30.875,0.192958096135274,3219,"Joint regime area Japan / Korea"
127.875,30.875,0.0265135809067585,3219,"Joint regime area Japan / Korea"
128.875,30.875,0.0268126713114,3219,"Joint regime area Japan / Korea"
129.125,30.875,0.0313881194763937,3246,"Japanese Exclusive Economic Zone"
129.375,30.875,0.144869853792272,3246,"Japanese Exclusive Economic Zone"
