"x","y","sigmaNovelty","cell","EEZ"
140.875,36.375,0.0459895492729284,3358,"Japanese Exclusive Economic Zone"
140.625,36.125,0.196974093460112,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.160881633128529,3358,"Japanese Exclusive Economic Zone"
132.125,33.125,0.0180193958454006,3247,"Japanese Exclusive Economic Zone"
132.375,33.125,0.00734063555720891,3274,"Japanese Exclusive Economic Zone"
130.375,32.875,0.741906029947352,3247,"Japanese Exclusive Economic Zone"
132.125,32.875,0.0305613437805192,3274,"Japanese Exclusive Economic Zone"
132.375,32.875,0.0496386715940554,3274,"Japanese Exclusive Economic Zone"
132.625,32.875,0.0121967697991695,3274,"Japanese Exclusive Economic Zone"
133.125,32.875,0.00824011091620367,3274,"Japanese Exclusive Economic Zone"
133.375,32.875,0.00090052488958436,3274,"Japanese Exclusive Economic Zone"
129.875,32.625,0.0464845451122673,3247,"Japanese Exclusive Economic Zone"
130.125,32.625,0.855243214700725,3247,"Japanese Exclusive Economic Zone"
130.375,32.625,1.08673878257455,3247,"Japanese Exclusive Economic Zone"
130.625,32.625,0.74671628169738,3247,"Japanese Exclusive Economic Zone"
131.875,32.625,0.0212430229997921,3274,"Japanese Exclusive Economic Zone"
132.125,32.625,0.0261496301445842,3274,"Japanese Exclusive Economic Zone"
132.375,32.625,0.00139859562864984,3274,"Japanese Exclusive Economic Zone"
132.625,32.625,0.000369535053255106,3274,"Japanese Exclusive Economic Zone"
132.875,32.625,0.000559001113287266,3274,"Japanese Exclusive Economic Zone"
133.125,32.625,0.000497983857744507,3274,"Japanese Exclusive Economic Zone"
133.375,32.625,0.0140837567290793,3274,"Japanese Exclusive Economic Zone"
129.875,32.375,0.181117759926613,3247,"Japanese Exclusive Economic Zone"
130.375,32.375,0.965083317642227,3247,"Japanese Exclusive Economic Zone"
131.875,32.375,0.00236149641344615,3274,"Japanese Exclusive Economic Zone"
132.125,32.375,0.0114294775162598,3274,"Japanese Exclusive Economic Zone"
132.375,32.375,0.00522258396775464,3274,"Japanese Exclusive Economic Zone"
132.625,32.375,0.0119401983222266,3274,"Japanese Exclusive Economic Zone"
132.875,32.375,0.0146997664040749,3274,"Japanese Exclusive Economic Zone"
133.125,32.375,0.0180688846328349,3274,"Japanese Exclusive Economic Zone"
139.625,32.375,0.00861303079980431,3357,"Japanese Exclusive Economic Zone"
139.875,32.375,0.0109621928735366,3357,"Japanese Exclusive Economic Zone"
129.875,32.125,0.0192717050186467,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.00362897003823796,3274,"Japanese Exclusive Economic Zone"
131.875,32.125,0.00079411713445546,3274,"Japanese Exclusive Economic Zone"
132.125,32.125,0.0100204778129494,3274,"Japanese Exclusive Economic Zone"
139.625,32.125,0.0096731199005557,3357,"Japanese Exclusive Economic Zone"
139.875,32.125,0.00675011025329931,3357,"Japanese Exclusive Economic Zone"
129.625,31.875,0.0209331828566052,3219,"Japanese Exclusive Economic Zone"
