"x","y","sigmaNovelty","cell","EEZ"
140.875,36.375,0.0459962341492563,3358,"Japanese Exclusive Economic Zone"
140.625,36.125,0.196983820071936,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.160890663459065,3358,"Japanese Exclusive Economic Zone"
132.375,33.125,0.00734361599525716,3274,"Japanese Exclusive Economic Zone"
132.125,32.875,0.0305674876319094,3274,"Japanese Exclusive Economic Zone"
132.375,32.875,0.0496290507825073,3274,"Japanese Exclusive Economic Zone"
132.625,32.875,0.0121956414591298,3274,"Japanese Exclusive Economic Zone"
133.125,32.875,0.00823919900938131,3274,"Japanese Exclusive Economic Zone"
133.375,32.875,0.000900558162546492,3274,"Japanese Exclusive Economic Zone"
132.125,32.625,0.0261538196364812,3274,"Japanese Exclusive Economic Zone"
132.375,32.625,0.00180353322886846,3274,"Japanese Exclusive Economic Zone"
132.625,32.625,0.000369222671691995,3274,"Japanese Exclusive Economic Zone"
132.875,32.625,0.000559516819507952,3274,"Japanese Exclusive Economic Zone"
133.125,32.625,0.000497934479917545,3274,"Japanese Exclusive Economic Zone"
133.375,32.625,0.014087949358039,3274,"Japanese Exclusive Economic Zone"
132.375,32.375,0.00522076145075268,3274,"Japanese Exclusive Economic Zone"
132.625,32.375,0.0119406820835019,3274,"Japanese Exclusive Economic Zone"
132.875,32.375,0.014701266552562,3274,"Japanese Exclusive Economic Zone"
133.125,32.375,0.0180708020897898,3274,"Japanese Exclusive Economic Zone"
139.625,32.375,0.00861156244847787,3357,"Japanese Exclusive Economic Zone"
139.875,32.375,0.0109631741196614,3357,"Japanese Exclusive Economic Zone"
129.875,32.125,0.0192731990465591,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.0121713674005218,3274,"Japanese Exclusive Economic Zone"
139.625,32.125,0.00967304293380261,3357,"Japanese Exclusive Economic Zone"
139.875,32.125,0.00675217708661273,3357,"Japanese Exclusive Economic Zone"
129.625,31.875,0.0209351256142604,3219,"Japanese Exclusive Economic Zone"
129.875,31.875,0.0503275268126935,3247,"Japanese Exclusive Economic Zone"
130.125,31.875,0.224742196254273,3247,"Japanese Exclusive Economic Zone"
131.625,31.875,0.0151580784198291,3274,"Japanese Exclusive Economic Zone"
131.875,31.875,0.00792987104958301,3274,"Japanese Exclusive Economic Zone"
129.375,31.625,0.00665941010994648,3219,"Japanese Exclusive Economic Zone"
129.625,31.625,0.00854638045473928,3246,"Japanese Exclusive Economic Zone"
129.875,31.625,0.0363068419362979,3246,"Japanese Exclusive Economic Zone"
130.125,31.625,0.0558592227946728,3246,"Japanese Exclusive Economic Zone"
130.625,31.625,0.0479432527265517,3246,"Japanese Exclusive Economic Zone"
131.625,31.625,0.0345018214730218,3274,"Japanese Exclusive Economic Zone"
